State,Case_#,Distracted
Alabama,10478,Not Distracted
Alabama,10478,Not Distracted
Alabama,10479,Not Distracted
Alabama,10479,Not Distracted
Alabama,10480,Not Distracted
Alabama,10481,Not Distracted
Alabama,10482,Not Reported
Alabama,10482,Not Reported
Alabama,10483,Not Reported
Alabama,10484,Not Reported
Alabama,10485,Not Distracted
Alabama,10485,Not Distracted
Alabama,10486,Not Distracted
Alabama,10487,Not Distracted
Alabama,10488,Not Distracted
Alabama,10489,Not Reported
Alabama,10489,Not Reported
Alabama,10490,Not Distracted
Alabama,10491,Not Distracted
Alabama,10491,Not Distracted
Alabama,10492,Not Distracted
Alabama,10493,Not Distracted
Alabama,10494,Not Distracted
Alabama,10495,Not Distracted
Alabama,10496,Not Distracted
Alabama,10497,"Distraction (Distracted), Details Unknown"
Alabama,10497,Not Distracted
Alabama,10498,Not Distracted
Alabama,10498,Not Distracted
Alabama,10498,Not Distracted
Alabama,10499,Not Distracted
Alabama,10500,Not Distracted
Alabama,10501,Not Distracted
Alabama,10501,Not Distracted
Alabama,10502,Not Distracted
Alabama,10503,Not Distracted
Alabama,10504,Not Distracted
Alabama,10504,Not Distracted
Alabama,10505,Not Distracted
Alabama,10505,Not Distracted
Alabama,10506,Not Distracted
Alabama,10506,Not Distracted
Alabama,10507,Not Distracted
Alabama,10507,Not Distracted
Alabama,10508,Not Distracted
Alabama,10509,Not Distracted
Alabama,10509,Not Distracted
Alabama,10510,Not Distracted
Alabama,10511,Not Distracted
Alabama,10512,Not Distracted
Alabama,10513,Not Distracted
Alabama,10513,Not Distracted
Alabama,10513,Not Distracted
Alabama,10513,Not Distracted
Alabama,10514,Not Reported
Alabama,10515,Not Distracted
Alabama,10515,Not Distracted
Alabama,10516,Not Distracted
Alabama,10516,Not Distracted
Alabama,10517,Not Distracted
Alabama,10517,Not Distracted
Alabama,10518,Not Distracted
Alabama,10518,Not Distracted
Alabama,10519,Not Distracted
Alabama,10519,Not Distracted
Alabama,10520,Not Distracted
Alabama,10520,Not Distracted
Alabama,10520,Not Distracted
Alabama,10520,Not Distracted
Alabama,10521,Not Distracted
Alabama,10521,Not Distracted
Alabama,10522,Not Distracted
Alabama,10523,Not Distracted
Alabama,10523,Not Distracted
Alabama,10524,Not Distracted
Alabama,10524,Not Distracted
Alabama,10525,Not Distracted
Alabama,10525,Not Distracted
Alabama,10526,Other Cellular Phone Related
Alabama,10526,Not Distracted
Alabama,10526,Not Distracted
Alabama,10527,Not Distracted
Alabama,10527,Not Distracted
Alabama,10528,Not Distracted
Alabama,10529,Not Distracted
Alabama,10530,Not Distracted
Alabama,10531,Not Distracted
Alabama,10532,Not Distracted
Alabama,10533,Other Cellular Phone Related
Alabama,10534,Not Distracted
Alabama,10535,Not Distracted
Alabama,10536,Not Distracted
Alabama,10537,Not Distracted
Alabama,10538,Not Distracted
Alabama,10538,Not Distracted
Alabama,10539,Not Distracted
Alabama,10540,Not Distracted
Alabama,10540,No Driver Present/Unknown if Driver present
Alabama,10541,Not Distracted
Alabama,10542,Not Distracted
Alabama,10543,Not Distracted
Alabama,10544,Smoking Related
Alabama,10545,Not Distracted
Alabama,10546,Not Distracted
Alabama,10547,Not Distracted
Alabama,10548,"Distraction (Distracted), Details Unknown"
Alabama,10549,Not Distracted
Alabama,10550,Not Distracted
Alabama,10550,Not Distracted
Alabama,10551,Not Distracted
Alabama,10552,Not Distracted
Alabama,10552,Not Distracted
Alabama,10553,Not Distracted
Alabama,10554,Not Distracted
Alabama,10555,Not Distracted
Alabama,10556,Not Distracted
Alabama,10556,Not Distracted
Alabama,10557,Not Distracted
Alabama,10558,Not Distracted
Alabama,10559,Not Distracted
Alabama,10559,Not Distracted
Alabama,10560,Not Distracted
Alabama,10560,Not Distracted
Alabama,10561,While Talking or Listening to Cellular Phone
Alabama,10561,Not Distracted
Alabama,10562,Not Distracted
Alabama,10562,Not Distracted
Alabama,10563,Not Distracted
Alabama,10564,By Other Occupant(s)
Alabama,10564,Not Distracted
Alabama,10565,Not Distracted
Alabama,10566,Not Distracted
Alabama,10567,Not Distracted
Alabama,10567,Not Distracted
Alabama,10567,Not Distracted
Alabama,10567,Not Distracted
Alabama,10568,Not Distracted
Alabama,10568,Not Distracted
Alabama,10569,Not Distracted
Alabama,10570,Not Distracted
Alabama,10571,Not Distracted
Alabama,10571,Not Distracted
Alabama,10572,Not Distracted
Alabama,10572,Not Distracted
Alabama,10572,Not Distracted
Alabama,10573,Not Distracted
Alabama,10574,Unknown if Distracted
Alabama,10575,Not Distracted
Alabama,10576,Not Distracted
Alabama,10577,Not Distracted
Alabama,10578,Not Distracted
Alabama,10578,Not Distracted
Alabama,10579,Not Distracted
Alabama,10580,Unknown if Distracted
Alabama,10580,Not Distracted
Alabama,10581,By Other Occupant(s)
Alabama,10582,Not Distracted
Alabama,10583,Not Distracted
Alabama,10583,Not Distracted
Alabama,10584,Not Distracted
Alabama,10585,Not Distracted
Alabama,10586,Not Distracted
Alabama,10587,Not Reported
Alabama,10588,Not Distracted
Alabama,10589,Not Distracted
Alabama,10590,Other Cellular Phone Related
Alabama,10591,Unknown if Distracted
Alabama,10592,Not Distracted
Alabama,10593,Not Distracted
Alabama,10593,Not Distracted
Alabama,10594,Not Distracted
Alabama,10594,Not Distracted
Alabama,10595,Not Reported
Alabama,10595,Not Reported
Alabama,10595,Not Reported
Alabama,10596,Not Reported
Alabama,10597,Not Reported
Alabama,10597,Not Reported
Alabama,10598,Unknown if Distracted
Alabama,10598,Not Distracted
Alabama,10599,Unknown if Distracted
Alabama,10599,Not Distracted
Alabama,10600,Not Distracted
Alabama,10600,Not Distracted
Alabama,10601,Unknown if Distracted
Alabama,10602,Other Cellular Phone Related
Alabama,10603,Not Distracted
Alabama,10604,Not Distracted
Alabama,10605,Not Distracted
Alabama,10605,Not Distracted
Alabama,10606,Not Distracted
Alabama,10607,Not Distracted
Alabama,10607,Not Distracted
Alabama,10608,Not Distracted
Alabama,10609,Not Distracted
Alabama,10609,Not Distracted
Alabama,10610,Not Distracted
Alabama,10611,Not Distracted
Alabama,10612,Other Cellular Phone Related
Alabama,10613,Not Distracted
Alabama,10614,Not Distracted
Alabama,10615,Not Distracted
Alabama,10615,Not Distracted
Alabama,10615,Not Distracted
Alabama,10616,Not Distracted
Alabama,10617,Not Distracted
Alabama,10617,Not Distracted
